Feature,Importance
Fwd Pkts/s,0.15826246292228646
Bwd Pkts/s,0.0840089085442651
Flow Pkts/s,0.07891032803160736
Init Bwd Win Byts,0.07060501629626016
Flow IAT Mean,0.06695845450675125
Flow IAT Max,0.06241319692318403
Flow Duration,0.05806215184726739
Down/Up Ratio,0.05444980923575725
Fwd IAT Max,0.028796513626953867
Bwd Pkt Len Min,0.026093312617511032
Subflow Fwd Pkts,0.024037154548330362
Tot Fwd Pkts,0.023934137224953234
Fwd Header Len,0.021320283364703728
Fwd IAT Tot,0.02010611210419682
Bwd Header Len,0.01940822453187486
Fwd Act Data Pkts,0.015564520808741225
Fwd IAT Mean,0.014267409035997316
Flow IAT Min,0.011339608334336126
Fwd Pkt Len Min,0.010347427074647062
TotLen Fwd Pkts,0.010082230407242208
Bwd IAT Mean,0.01005672347386417
SYN Flag Cnt,0.008804109678627301
Bwd IAT Tot,0.008428795946046582
ACK Flag Cnt,0.008230078818133308
Bwd IAT Min,0.007504455180879098
TotLen Bwd Pkts,0.00665949638796026
Subflow Fwd Byts,0.006291434657351057
Flow IAT Std,0.005668879922731426
Bwd IAT Max,0.005625105684854797
Pkt Len Min,0.0049276931334075475
Bwd Pkt Len Max,0.004816792161703506
Fwd Pkt Len Mean,0.004555462313213137
Fwd Seg Size Avg,0.004373190994057566
Pkt Size Avg,0.00429158075610668
Fwd IAT Min,0.0040061955976428395
Pkt Len Max,0.0039291742772520006
Subflow Bwd Byts,0.0038119544986422406
Fwd IAT Std,0.003612176498401805
Fwd Pkt Len Max,0.0034749374903786682
Subflow Bwd Pkts,0.0031438734505371616
Tot Bwd Pkts,0.0031177455348855194
Idle Min,0.0031033924361317127
Bwd Pkt Len Mean,0.0030128780557883614
Pkt Len Std,0.0026543434430530985
Fwd Pkt Len Std,0.00234743048688122
Pkt Len Var,0.002038723980517738
Bwd Seg Size Avg,0.00195543794226165
Pkt Len Mean,0.0018691534682369272
Bwd Pkt Len Std,0.0018627985158874334
Flow Byts/s,0.001681267524236247
FIN Flag Cnt,0.0016261048144311288
Bwd IAT Std,0.0008100662683920342
Idle Max,0.000682419642913121
Active Min,0.0004755539142503407
Active Max,0.00043540635533129043
Idle Mean,0.00042397400710985625
Bwd PSH Flags,0.0002708136501038431
Idle Std,0.00021736856327229584
PSH Flag Cnt,0.000142817832590102
Active Mean,6.181725725052886e-05
Active Std,2.184982019158916e-05
RST Flag Cnt,4.748195000373603e-06
Bwd URG Flags,2.6021069199275e-06
URG Flag Cnt,1.913275705684439e-06
CWE Flag Count,0.0
ECE Flag Cnt,0.0
